Time;L.AnkleF;L.AnkleS;L.HipF;L.HipR;L.HipS;L.Knee;L.ShoulderF;L.ShoulderS;R.AnkleF;R.AnkleS;R.HipF;R.HipR;R.HipS;R.Knee;R.ShoulderF;R.ShoulderS;TorsoR;L.HipF_real;L.HipS_real;L.HipR_real;L.Knee_real;L.AnkleF_real;L.AnkleS_real;R.HipF_real;R.HipS_real;R.HipR_real;R.Knee_real;R.AnkleF_real;R.AnkleS_real;TorsoS_real;TorsoF_real;TorsoR_real;L.ShoulderF_real;L.ShoulderS_real;L.ElbowR_real;L.Elbow_real;Neck_real;HeadR_real;HeadF_real;R.ShoulderF_real;R.ShoulderS_real;R.ElbowR_real;R.Elbow_real
0.1;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.414967;5.19846;-0.20894;19.6381;-1.24273;10.4385;-0.352669;-3.50782;-0.105831;19.6279;-0.993223;-9.87278;-0.0438803;0.0217746;-0.0360178;-18.1746;0.0350525;-14.9993;-25.001;-0.0140892;-0.020108;-0.0152505;-18.1718;0.0319926;15.0011;-24.9988
0.105;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.429788;5.2728;-0.153293;19.6344;1.04931;9.6451;-0.213731;-3.33486;-0.141269;19.6427;0.611466;-9.70149;0.0933824;0.120184;-0.143334;-18.1715;0.0561988;-14.9993;-25.0055;0.00508166;-0.0706874;0.0393419;-18.1573;-0.0424587;15.007;-25.0121
0.11;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.0562261;4.79086;-0.153492;19.6381;-1.01707;9.86383;0.239084;-3.35556;-0.160596;19.6275;-0.634773;-9.66625;-0.0499673;0.0607067;-0.118268;-18.1727;0.0496145;-15.0076;-24.9993;-0.00634142;-0.0399498;-0.00387573;-18.1652;0.00573736;15.0004;-25.0005
0.115;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.536477;5.03278;0.0929998;19.6332;-1.44898;9.81627;-0.300935;-3.45695;0.122288;19.6398;-0.793921;-9.86675;0.0565813;-0.206416;-0.0458975;-18.1704;0.0297796;-14.9963;-24.9986;-0.0217617;0.0349433;0.027512;-18.1745;-0.0109247;14.9992;-25.0016
0.12;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.340335;4.80763;0.0960051;19.6243;0.723481;9.88044;0.120758;-3.05643;-0.0604128;19.6324;0.803094;-9.82879;-0.0248732;0.057155;0.0220479;-18.1702;-0.00648006;-14.9997;-24.9998;-0.00271337;-0.0339281;-0.00285425;-18.1714;-0.0110743;14.9994;-25.0003
0.125;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.521552;5.12395;-0.162489;19.6344;0.537563;10.3657;0.0719629;-2.99083;-0.101721;19.6278;-0.533421;-9.84506;-0.0259378;0.0951035;-0.122027;-18.1988;0.0144254;-15.0031;-25.0002;-0.00699519;0.00642038;-0.00444666;-18.1978;0.0305446;15.0013;-25.0062
0.13;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.565021;5.18223;-0.103649;19.6355;0.945162;10.3139;0.138871;-2.87521;-0.102647;19.6321;-0.366305;-10.0582;-0.00664339;0.144855;-0.0994155;-18.1486;0.00939834;-15.0011;-24.9955;-0.00341977;0.0214195;-0.000750911;-18.1489;0.0113654;15.0085;-25.0016
0.135;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.474562;5.3705;0.0969067;19.6322;-0.970079;10.3075;0.216326;-3.08255;0.113682;19.6116;-0.787214;-10.2689;0.0374841;0.18947;-0.0919737;-18.1785;0.0308998;-15;-24.9945;0.0030326;-0.0479547;-0.0303986;-18.1712;0.0160373;14.9987;-25.0007
0.14;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.488304;5.44863;0.0422106;19.6302;-0.64561;9.64068;0.0193158;-2.93385;0.141959;19.6295;0.563053;-9.74036;0.0428116;0.136604;-0.0810573;-18.1548;-0.0230633;-15.0007;-25.0014;0.00590128;-0.0227531;-0.00811557;-18.1711;0.00543683;15.0003;-25.0004
0.145;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.379669;5.43566;0.0487675;19.6276;-0.6818;10.361;-0.382684;-3.15069;-0.0985839;19.628;1.20405;-10.3532;-0.0702824;0.0778642;0.0373202;-18.176;0.025463;-15.0092;-24.9985;-0.00730123;-0.014893;-0.00769026;-18.158;-0.00655036;15.0008;-24.9995
0.15;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.163569;5.27922;0.0942566;19.6342;-1.06751;9.09361;0.0582205;-2.95723;0.141358;19.6316;-1.28586;-10.3195;-0.0631504;0.0881368;-0.0338116;-18.1598;-0.00992983;-14.9993;-24.9959;0.00254083;0.0476201;-0.0132412;-18.1547;0.0093437;15.0003;-25.0008
0.155;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.455464;5.65963;-0.102869;19.6332;-0.973375;10.3383;0.224522;-3.08436;-0.120301;19.6286;-1.30934;-10.3199;-0.057343;-0.0823211;0.0931911;-18.1806;0.0200261;-15.0069;-25.0009;-0.00659329;-0.0118802;0.00166657;-18.1712;-0.0284882;14.9958;-24.9999
0.16;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.390441;5.88027;-0.13629;19.6203;-1.48343;9.86479;-0.165681;-2.46956;-0.160975;19.6422;-0.770568;-10.3245;0.092672;-0.0547984;-0.0285311;-18.1766;0.0372928;-15.0017;-25.0013;-0.00627208;-0.0316283;0.00748589;-18.1446;-0.0165111;15.0078;-25.0025
