Time HeadF HeadR L.AnkleF L.AnkleS L.Elbow L.ElbowR L.HipF L.HipR L.HipS L.Knee L.ShoulderF L.ShoulderS Neck R.AnkleF R.AnkleS R.Elbow R.ElbowR R.HipF R.HipR R.HipS R.Knee R.ShoulderF R.ShoulderS TorsoF TorsoR TorsoS L.HipF_real L.HipS_real L.HipR_real L.Knee_real L.AnkleF_real L.AnkleS_real R.HipF_real R.HipS_real R.HipR_real R.Knee_real R.AnkleF_real R.AnkleS_real TorsoS_real TorsoF_real TorsoR_real L.ShoulderF_real L.ShoulderS_real L.ElbowR_real L.Elbow_real Neck_real HeadR_real HeadF_real R.ShoulderF_real R.ShoulderS_real R.ElbowR_real R.Elbow_real Yaw Pitch Roll R.FTS.Ankle_Fx R.FTS.Ankle_Fy R.FTS.Ankle_Fz R.FTS.Ankle_Tx R.FTS.Ankle_Ty R.FTS.Ankle_Tz L.FTS.Ankle_Fx L.FTS.Ankle_Fy L.FTS.Ankle_Fz L.FTS.Ankle_Tx L.FTS.Ankle_Ty L.FTS.Ankle_Tz
120 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8619 0.123982 -0.0814926 62.9201 -30.0223 -0.528723 -37.0316 0.209386 -0.141371 63.2189 -30.4072 -0.7119 0.00207638 0.00827819 0.0554611 16.7205 5.68802 0.000874264 -120 0.000628377 -0.00197884 -0.000530786 21.1292 -9.96476 0.000819623 -120 -0.221153 4.25147 0.394409 1.50199 30.7805 -623.713 -4.17338 -5.29514 0.923898 -9.07935 -30.7115 -471.013 2.36857 -3.82263 -0.921789
126 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8641 0.122998 -0.0729221 62.92 -30.0945 -0.479409 -37.0328 0.209222 -0.146002 63.2197 -30.1656 -0.706459 0.00341509 0.00273208 0.0567179 16.7201 5.68903 0.000956226 -120 0.00101087 0.00226762 -0.00126071 21.1289 -9.96586 0.000628377 -120 -0.215318 4.25204 0.390686 -4.58338 33.6124 -612.772 -4.08669 -4.50577 1.00912 -12.6008 -29.2927 -459.225 2.32394 -2.91309 -0.879207
131 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.865 0.131549 -0.0751946 62.9199 -30.1173 -0.485917 -37.0317 0.218047 -0.14274 63.2202 -30.2949 -0.697599 0.00237691 -0.00216508 0.0566632 16.7203 5.68897 -0.000794426 -120 0.000491774 -0.00135083 -0.000368328 21.1288 -9.96551 -0.00127551 -120 -0.215578 4.25303 0.394867 0.22665 32.54 -604.343 -4.01584 -3.17649 0.976908 -12.481 -29.5019 -447.263 2.42905 -2.63538 -0.885327
137 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8643 0.122506 -0.0789929 62.92 -30.0518 -0.508554 -37.0319 0.219741 -0.14404 63.2201 -30.1638 -0.704623 -0.0023898 -0.00148175 0.0561715 16.7201 5.68895 -0.000226248 -120 -0.00018477 -0.000332468 -0.000138564 21.1282 -9.96572 0.000683019 -120 -0.213111 4.24113 0.394073 -4.71759 29.9259 -570.876 -3.28416 -2.49953 0.898281 -10.9366 -29.9097 -412.252 1.984 -8.25082 -0.897326
143 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8644 0.135566 -0.0747543 62.9203 -30.0202 -0.530772 -37.0332 0.213566 -0.144566 63.2197 -30.1534 -0.705133 0.0030326 0.00762249 0.0590675 16.7204 5.68794 -0.000534181 -120 -0.000862352 0.00136604 -0.000711154 21.1294 -9.96561 0.00106551 -120 -0.217953 4.24026 0.395111 -5.71383 30.7606 -546.542 -3.66389 -1.87744 0.923033 -6.04114 -31.3886 -394.5 2.21034 -8.53515 -0.941814
149 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8645 0.13715 -0.0741009 62.9199 -30.0064 -0.527795 -37.0334 0.208895 -0.142995 63.2193 -30.1671 -0.71494 -0.00452629 -0.00633888 0.057237 16.7207 5.68919 0.000792302 -120 -0.000707413 -0.00233994 -0.000636576 21.1272 -9.96525 0.000601057 -120 -0.215491 4.23492 0.394989 -7.60173 31.0503 -518.352 -3.34623 -1.85171 0.932062 -4.49001 -32.1409 -369.711 2.14305 -9.47134 -0.964397
155 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8648 0.13491 -0.0762029 62.9203 -30.1081 -0.492794 -37.0329 0.212965 -0.14304 63.2205 -30.1694 -0.708443 0.00243155 0.00767713 0.0562808 16.7205 5.68936 -0.000660344 -120 0.000409811 -0.000835174 -0.001205 21.1291 -9.96577 0.000874264 -120 -0.211169 4.23269 0.398529 -9.22393 28.8208 -507.576 -3.24399 -0.684554 0.865105 -8.73783 -34.039 -356.22 2.45986 -8.1357 -1.02112
161 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8641 0.126386 -0.0750153 62.9204 -30.0897 -0.506726 -37.0314 0.209659 -0.14574 63.2197 -30.1696 -0.72638 -0.00249098 0.00401615 0.0529476 16.72 5.68925 -0.00133181 -120 -0.000158958 -0.000362793 -2.68905e-05 21.1283 -9.96588 0.00147532 -120 -0.212739 4.22876 0.39212 -8.27203 26.8942 -495.507 -2.20626 0.744533 0.807123 -5.15001 -34.4831 -345.7 2.16456 -6.12478 -1.03468
168 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8646 0.132287 -0.0774722 62.9201 -30.1665 -0.476268 -37.0327 0.21149 -0.144321 63.2199 -30.1821 -0.717756 0.00122943 0.00360634 0.0567725 16.72 5.68892 -0.000559633 -120 -8.0182e-05 -0.00136122 -0.000828057 21.1286 -9.96497 0.000956226 -120 -0.218667 4.22609 0.389618 -4.93416 28.9614 -495.355 -2.08232 -0.0718794 0.868971 -2.28987 -35.978 -345.136 2.22705 -5.16036 -1.07981
174 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.864 0.121413 -0.0746155 62.9197 -30.1109 -0.499122 -37.0329 0.210834 -0.143241 63.219 -30.3119 -0.704767 -0.00231825 -0.00465769 0.0569638 16.7206 5.68925 0.000928906 -120 0.000300528 -0.00128573 0.000437132 21.1288 -9.96446 0.000655698 -120 -0.217306 4.21958 0.391632 -0.302057 24.7664 -505.073 -1.39702 0.518955 0.743048 -2.42103 -32.1849 -357.609 2.32289 -3.14002 -0.96602
